query	title	neg_title
作者:旺庆	浅谈初中物理教学中提问的技巧和方法初中物理,课堂提问,意义,技巧	高等师范院校“人体组织学与解剖学”教学方法研究教学法,人体组织学与解剖学,教学效果
开发区颍南中学教师	"游戏——小学生作文的""桥""小学作文,游戏,""桥"""	"小学语文作文教学中生活化教学模式的应用策略研究小学语文,作文教学,生活化教学模式,小学作文
"
天使望故乡	《天使望故乡》中的家庭伦理托马斯·沃尔夫,《天使望故乡》,家庭伦理	《天使望故乡》中的家庭伦理托马斯·沃尔夫,《天使望故乡》,家庭伦理
(新华医院) 作者:董利军	浅谈新冠肺炎疫情防控中住院医师规范化培训的管理住院医师规范化培训,疫情防控	急诊胸痛标准化分诊的流程及管理急诊胸痛,标准化分诊,流程,管理
((农村公共服务) 关键词:基础建设 ) 关键词:医疗服务	简论公共服务均等化与新农村建设——以福建省为例福建,新农村建设,公共服务均等化,问题,对策建议	论中国农村医疗卫生服务体系建设存在的问题及对策基层社区,医疗卫生服务体系,问题与对策
特殊教育 音乐	浙江省特殊教育学校音乐教育存在的问题及对策特殊教育学校,音乐教育,问题,对策	基于“特殊性”:近代中国教会盲校音乐教育探蹟特殊教育,教会盲校,音乐教育
欺骗心理	心理特权与大学生网络欺骗行为:有调节的中介效应心理特权,自我损耗,内隐人格观,网络欺骗行为	儿童欺骗研究综述:发生、发展、测量及其与心理理论的关系儿童欺骗,错误信念,心理理论
术后下肢静脉血栓	思维导图健康教育对腰椎骨折内固定术后下肢深静脉血栓形成的预防效果分析思维导图健康教育;腰椎骨折内固定术;下肢深静脉血栓;预防效果	低相对分子质量肝素钙预防腹腔镜术后下肢静脉血栓形成的疗效观察低分子肝素钙;腹腔镜;下肢静脉血栓
援外培训	中国中医科学院西苑医院中医药援外培训效果评估及影响因素研究中医药培训,援外培训,培训评估,调查问卷	关于举办医疗援外培训的评价及体会医疗,援外培训,必要性,思考
子宫内膜异位/中药疗法	中药周期疗法对子宫内膜异位症腹腔镜手术后患者疗效及免疫功能的影响子宫内膜异位症,中药,周期,疗效,免疫	清心消癥汤联合GnRH-α对中重度子宫内膜异位症保守性手术治疗后的观察分析子宫内膜异位症,腹腔镜手术,GnRH-α,清心消癥汤
智能算法概述	经典人工智能算法综述人工智能算法,朴素贝叶斯,逻辑回归,深度学习,遗传算法	智能控制理论在导弹控制中的应用概述神经网络,遗传算法,模糊逻辑,智能控制
英文论文	医学英文论文写作五原则医学论文,英文写作,清楚,精练,准确,完整,前后一致	英文论文写作中如何正确使用连字符科技论文,写作,连字符,使用
题名:经济效益	基于CGE模型的东北亚能源互联网经济效益量化分析全球能源互联网;CGE;经济效益;东北亚	浅谈水利工程经济效益风险探索水利工程,经济效益,风险,探索
导尿管相关泌尿系统感染	骨科患者围术期导尿管留置现状及其相关因素分析骨科,导尿管,留置	经尿道2μm钬激光剜除术治疗大体积前列腺增生的有效性及安全性大体积前列腺增生;经尿道2 μm钬激光剜除术;有效性;安全性
作者单位:湖南长沙医科大学	临床重要耐药菌感染传播防控策略专家共识耐药菌,多重耐药菌,流行病学,耐药机制,感染防控,耐药监测,医院感染	复方柴金解郁片对抑郁症失眠大鼠脑内GABA受体表达的影响复方柴金解郁片,抑郁症失眠,海马,下丘脑,GABAA R,GABAB R
诱导抗性	利用HS-SPME-GC/MS法分析横坑切梢小蠹危害细叶云南松诱导抗性挥发物质细叶云南松;横坑切梢小蠹;挥发性化学物;顶空固相微萃取;气相色谱-质谱联用;判别分析	番茄早疫病病组织浸提液对番茄早疫病诱导抗性的研究番茄早疫病,病组织浸提液,诱导抗性
天津港航工程有限公司	建筑工程安全监督存在的问题及解决措施建筑施工,安全管理,管理方法,管理技术	重金属污染底泥土工管袋脱水与烧制陶粒应用重金属;底泥;土工管袋;脱水;陶粒
妇幼护理	妇幼保健院产科护理管理的应用研究妇幼保健院,护理管理,满意度	妇幼保健中的母乳喂养护理体会及效果应用研究妇幼保健,母乳喂养护理,应用效果
作物抗病品种的选育	优质抗病高产中熟中粳稻新品种中科盐5号的选育及栽培技术中熟中粳稻,中科盐5号,选育,栽培技术	玉米新品种正科育1号选育与栽培技术研究玉米,杂交种,正科育1号,栽培技术,选育
桂枝  不良反应	桂枝茯苓丸治疗子宫肌瘤的临床疗效研究子宫肌瘤,桂枝茯苓丸,临床疗效	桂枝茯苓胶囊联合米非司酮治疗子宫肌瘤患者的临床效果子宫肌瘤,桂枝茯苓胶囊,米非司酮,激素
浆母细胞淋巴瘤	浆母细胞淋巴瘤五例并文献复习浆母细胞淋巴瘤,临床特征,治疗	5例浆母细胞淋巴瘤临床病例分析和文献回顾浆母细胞淋巴瘤,化疗,预后,病理
腺病毒疫苗	新冠病毒疫苗研发策略与进展概述新冠病毒,疫苗,研发策略,进展	F基因型腮腺炎减毒活疫苗(人二倍体细胞)的质量稳定性分析F基因型腮腺炎减毒活疫苗,人二倍体细胞,细胞工厂,病毒滴度,质量稳定性
直接盖髓术	不同方式去龋应用于乳牙直接盖髓术中的对比研究直接盖髓术,激光,乳牙,iRootBP,治疗,依从性	36例直接盖髓术的疗效观察直接盖髓术,牙髓外露
半导体激光治疗仪	半导体激光辅助下盐酸米诺环素软膏治疗牙周牙髓联合病变疗效观察牙周牙髓联合病变,半导体激光,盐酸米诺环素软膏	半导体激光治疗仪在老年全膝关节置换术后患者康复护理中的应用效果全膝关节置换术,半导体激光治疗仪,康复护理,老年
输血相容性试验质控品	输血相容性检测试验室内质控品的制备与可行性分析输血相容性检测,室内质量控制,质控品,均一性,稳定性	回顾性分析我院输血相容性检查室内质控品临床应用评价输血相容性检查,室内质控品,重复性,稳定性
航空发动机离心式喷嘴	压力振荡对气液同轴离心式喷嘴自激振荡的影响压力振荡,气液同轴离心式喷嘴,自激振荡,雾化,Klystron效应	双油路离心喷嘴雾化特性的半经验预测方法双油路离心喷嘴,半经验预测方法,液膜破碎,索太尔平均直径,表面波不稳定性
耳廓畸形	先天性耳廓畸形的早期非手术治疗耳廓,先天畸形,矫治,无创技术	国产耳廓矫正器治疗小儿先天性耳廓畸形耳廓畸形,耳模矫正,无创矫正
压痕力学	纳米尺度下煤的力学性质及破坏机制研究岩石力学,纳米压痕,煤大分子,Weibull分布,分子动力学	基于多尺度力学实验的氢脆现象的最新研究进展氢脆;多尺度力学实验;纳米压痕;位错;金属材料
经营者集中豁免	经营者集中豁免的实体标准研究经营者集中;豁免;实体标准	告别需求可替代性的相关市场界定方法:经营计划书作为界定产品相关市场的方法相关市场,需求可替代性,供给可替代性,经营者计划书的方法
作者单位:威海市 音乐	趣味发声练习在小学歌唱教学中的应用策略探索小学歌唱教学,趣味发声,音乐节奏	音乐课,先调息学习习惯,课堂的效率,音乐素养
阿昔洛韦质量	阿昔洛韦微囊的制备及质量评价阿昔洛韦,复凝聚法,微囊,正交试验,长效缓释	溴夫定治疗带状疱疹的快速卫生技术评估溴夫定;有效性;安全性;带状疱疹;快速卫生技术评估
鼻咽癌 口干	中药含漱联合穴位贴敷对鼻咽癌放疗后口干症的影响研究鼻咽癌,口干症,中药含漱液,穴位贴敷,放疗,护理	鼻咽癌患者放疗后腮腺血流变化、唾液流速与口干症状的相关性研究鼻咽癌,多普勒超声影像,唾液流速,口干,放射疗法
俄罗斯文学史	重构20世纪俄罗斯文学史——评汪介之新著《俄罗斯现代文学史》俄罗斯文学,文学批评,文学史	"西方新编《俄罗斯文学史》出版文学史,俄罗斯文化,俄罗斯文学,""白银时代"",新编文学史,侨居国,马雅可夫斯基,西方文学,俄罗斯学,文学史教材"
隶属度评价	应用粗糙隶属度确定大坝效应量分量比例大坝安全监测,粗集理论,粗糙隶属度,效应量,分量比例	涝区涝灾程度的模糊综合评价——以辽宁省典型涝区为例模糊数学,隶属度,权重,涝灾程度评价,辽宁省典型涝区
作者单位: 海北州第二高级中学	基于学科核心素养的高中思想政治学科活动课堂构建核心素养,高中,思想政治,课堂构建	"对""罗森塔尔效应""的认识与实践期望效应,期望特性,认识实践"
幼儿良好饮食习惯	幼儿良好饮食习惯的培养良好饮食习惯,进餐环境,进餐习惯,固定饮食,家园共育	试论如何培育幼儿良好饮食习惯幼儿,良好饮食习惯
文化品格	英语学科核心素养培养的实现途径基础教育,英语教学,学科核心素养,实现途径	英语学科教学与思维品质培养英语教学,思维品质,语言能力,文化品格,学习能力
心力衰竭 中医	中医药在慢性心力衰竭治疗中的应用及评价中医药,慢性心力衰竭,评价	慢性心力衰竭中医证候规律的临床流行病学调查研究慢性心力衰竭,中医证候,临床流行病学
题名:浅谈高校图书馆阅读推广	浅谈高校图书馆阅读推广高校,图书馆,阅读推广	浅谈高校图书馆阅读推广中馆员的作用高校图书馆;阅读推广;馆员作用
脂肪间充质干细胞	脂肪间充质干细胞的基本生物学特性及向成骨细胞诱导分化的实验研究脂肪,干细胞,生物学,分化	间充质干细胞的研究进展间充质干细胞,组织工程,分化
心脑血管病	中风心脑血管病与微观证治学高血压病,心脑血管病,风中五脏,降压熄风,调脂祛痰,活血化瘀	维持性血液透析患者并发心脑血管病的危险因素 及对患者近期预后的影响维持性血液透析,心脑血管病,预后,危险因素,血尿酸
新型公交系统	基于无线射频的新型公交报站系统设计无线射频识别,电子标签,自动报站	基于精英选择遗传算法的需求响应公交规划需求响应公交,站点选址,路径规划,精英选择遗传算法
台州中职教师	以学生为中心的教学理念在建筑工程计量与计价课程中的应用与实践线上教学,案例教学,任务型教学	"""工匠精神""视角下新教师""四位一体""的培养路径探析""工匠精神"",新教师,四位一体,培养路径"
安全责任	对监理安全责任现状与发展的思考监理;安全责任;现状与发展;思考	食品安全责任保险中的行政指导研究食品安全,保险,食品安全责任保险,行政指导
类风湿关节炎和雌激素	雌激素受体基因多态性与女性类风湿关节炎的关系关节炎,类风湿,受体,雌激素,多态性,单核苷酸	雌激素对胶原诱导关节炎动物模型发病过程的作用类风湿关节炎,胶原诱导关节炎,雌激素,肽基精氨酸脱亚胺基酶4,大鼠,Lweis
商业银行房地产企业贷款风险管理	商业银行房地产信贷风险度量方法比较商业银行;信用贷款;风险度量模型	商业银行风险集中度与资产管理研究 ——基于住房市场与价格波动的视角商业银行,房地产价格波动,风险
“工程伦理”	工程伦理学的现状和展望职业伦理,实践伦理,工程伦理,职业化,职业信任,职业诚信	借鉴国外经验,开展工程伦理教育工程伦理,职业道德,教育
测温系统	无人机多通道实时测温系统设计机载;实时测温系统;多通道;PT1000;CAN总线	基于分布式光纤拉曼测温系统的核电一回路泄漏点监测技术分布式光纤拉曼测温系统,定位,泄漏,精度,监测
成本控制	浅谈国有企业成本控制国有企业,成本控制,途径	基于层次分析法的公寓式住宅成本控制高层公寓式住宅,设计阶段,层次分析法,成本控制,设计方案,方案对比,成本分析,评价方法
建筑物轮廓	基于数学形态学的建筑物轮廓信息提取建筑物轮廓,数学形态学,MHN滤波,DMP算法	基于数学形态学的建筑物轮廓信息提取建筑物轮廓,数学形态学,MHN滤波,DMP算法
风能预测	基于降噪时序深度学习网络的风电功率短期预测方法风能,功率预测,奇异谱分析,长短时记忆网络	考虑风速时空相关特性的元启发式支配预测模型风速预测,时空相关性,卷积神经网络,支持向量回归
种植体边缘骨吸收	软组织水平种植体不同愈合方式对早期边缘骨吸收影响的回顾性研究软组织水平种植体;边缘骨吸收;埋入式愈合;非埋入式愈合	平台转移种植体和传统基台连接种植体边缘骨吸收比较Ankylos平台转移种植系统,Nobel Replace传统基台连接种植体系统,边缘骨吸收
简析市政工程施工管理中环保型施工措施的应用	简析市政工程施工管理中环保型施工措施的应用市政工程,施工管理,环保型施工	简析市政工程施工管理中环保型施工措施的应用市政工程,施工管理,环保
作者:安玉红	在实验教学中提升高中生的化学素养化学,高中,实验教学,素养	血管回声跟踪技术评价Graves病患者颈动脉血管弹性的临床研究格雷夫斯病,颈动脉,超声检查,多普勒,彩色
技术手册	《火电厂污染防治技术手册》简介污染防治技术,技术手册,火电厂,成果推广应用,研究成果,火电机组,技术指南	制作交互式电子技术手册标准化要求电子技术手册,制作,标准化
教育焦虑	国内教育焦虑研究述评教育焦虑,学习焦虑,教师焦虑,教育心理学,研究述评	中小学家长教育焦虑调查研究中小学家长,教育焦虑,构成要素,现状
经皮椎弓根螺钉	微创经皮椎弓根螺钉内固定治疗胸腰椎骨折的初步探讨骨折固定术,内,胸椎,腰椎	经皮微创椎弓根螺钉内固定与开放手术治疗胸腰椎骨折：Cobb’s角与椎体前缘高度恢复的比较植入物,脊柱植入物,微创,经皮,内固定,开放手术,胸腰椎骨折,肌酸激酶,C-反应蛋白,Cobb’s角,椎体前缘高度
抗titin	重症肌无力患者血清学标志物检测及临床意义重症肌无力,受体,胆碱能,抗体,酶联免疫吸附测定	多重抗神经元抗体阳性的神经系统副肿瘤综合征临床分析神经系统副肿瘤综合征,抗神经元抗体,边缘性脑炎,周围神经病
python教学	案例驱动教学法在Python教学中的应用Python程序设计,案例驱动,学生主体,计算思维	Python教学探索Python,教学探索
超声 AND 乳腺肿瘤	乳腺良恶性肿瘤诊断中彩色多普勒超声的临床效果彩色多普勒超声,乳腺良恶性肿瘤,诊断调研	超声引导下经皮穿刺活检术在诊断乳腺肿瘤中的应用价值超声引导下经皮穿刺活检术,乳腺肿瘤,良性肿瘤,恶性肿瘤,影像特征
NMDA受体脑炎	抗NMDA受体脑炎边缘叶脑炎,抗N-甲基-M-天冬氨酸受体抗体,年轻女性,畸胎瘤	1例抗NMDA受体脑炎患者的护理抗NMDA受体脑炎,癫痫,护理
航空运力	区域航空旅客运输市场运力均衡性规划研究区域航空,客运运力,供需均衡	我国区域航空市场客运运力供需均衡研究民航运输,区域航空,客运运力,供需均衡
盐分 玉米  郭	含碳物料改良苏打盐化土的效果研究苏打盐化土,合碳物料,改良,风化煤,牛粪,生物炭,秸秆	化肥有机肥配施对盐渍化土壤氨挥发及玉米产量的影响盐渍化土壤,有机无机肥配施,氨挥发
胃间质瘤CT危险分级	胃间质瘤CT鉴别诊断及危险度分级研究进展胃间质瘤;体层摄影术,X线计算机;鉴别诊断;危险度分级	增强CT扫描纹理分析技术在胃肠道间质瘤患者术前病理危险度分级诊断中的应用研究增强电子计算机断层扫描;胃肠道间质瘤;危险度分级;纹理分析
智能温度测控	基于单片机的智能温度测控系统的设计单片机,温度测控系统,DS18B20	智能温度测控仪高精度接口电路设计温度测控仪,接口电路,高精度
手术室危化品	精细化管理在手术室危化品管理中的应用精细化管理,手术室,危化品	精细化管理在手术室危化品管理中的应用精细化管理,手术室,危化品
导热胶黏剂发展	导热胶黏剂的研究进展及其在LED封装的应用导热胶黏剂,导热填料,LED封装	"高导热胶黏剂的应用研究高导热胶黏剂;填料;纳米银;导热性
"
压电传感器 变形	智能结构中热压电致动器和传感器的优化配置智能结构,热压电耦合效应,有限元分析法,致动器/传感器配置 优化	含压电传感器和驱动器的复合材料中厚板有限元分析有限元,复合材料,中厚板,压电,驱动器,传感器
工业设计	工业设计决策问题研究工业设计,设计评价,设计决策,问题研究	压缩感知理论及其研究进展信息采样,压缩感知,稀疏表示,观测矩阵
PSA监测	PSA在监测前列腺癌治疗中的进展前列腺肿瘤,前列腺特异抗原	D WI对前列腺癌疗效监测及ADC值与PSA相关性研究前列腺肿瘤,磁共振成像,扩散加权成像,前列腺特异性抗原
刘艳娟 保定市第三中心医院	不同术式全子宫切除术后护理疗效研究腹腔镜辅助下阴式全子宫切除术,开腹全子宫切除术,恢复效果	不同时机产后生物反馈电刺激对盆底功能障碍的防治作用不同时机;盆底功能障碍;生物反馈联合电刺激;压力性尿失禁;盆底肌力;脏器脱垂
网格化治理	城市社会管理网格化模式的定位及其未来城市社会管理,网格化管理模式,社区自治	城市流动摊贩管理:治理模式的转型与实现条件流动摊贩,治理模式,公众参与,转型
冷链物流追溯系统	基于物联网技术的冷链温控溯源平台开发食品冷链物流;温控溯源平台;物联网技术	"""陕冷链""筑起陕西疫情防控的""防火墙""冷链物流;食品安全;疫情防控;追溯系统"
莎士比亚喜剧	莎士比亚与世界文学:历史意义与现代阐释——王忠祥教授访谈录莎士比亚,历史意义,现代阐释,中国莎学,伦理乌托邦	莎士比亚喜剧的跨文化演绎——京剧《温莎的风流娘儿们》与“福氏喜剧”精神莎士比亚,京剧,温莎的风流娘儿们,福氏喜剧
"(气凝胶) 关键词:""石墨烯气凝胶"""	石墨烯气凝胶的研究进展氧化石墨,石墨烯气凝胶,水热法,碳材料	整体式三氧化钨/氧化石墨烯气凝胶增强可见光光催化氧化NO性能三氧化钨/氧化石墨烯气凝胶,光催化剂,NO氧化,选择性
预测定价	期权定价中的分步式预测模型金融工程,期权定价,金融预测,神经网络,遗传算法	组合预测模型在股指期货定价上的运用对数灰色关联度,隐含除息无风险利率,IGOWLA算子,股指期货定价
设计思维	教育领域设计思维评价:模型、工具与方法设计思维;评价;理论探讨;工具开发;评价模型;教学创新	景观环境的可供性设计思维探究可供性;设计思维;景观设计
ICU日记	国外ICU日记应用的研究进展ICU日记,应用,效果,障碍,现状,综述	半结构化命题反思日记在儿童ICU本科实习护生中应用的质性研究反思日记,半结构命题,实习护生,质性分析,儿童,重症监护病房,教学方法
HPV与宫颈癌	高危型人乳头瘤病毒感染与宫颈癌前病变及宫颈癌的相关性研究高危型人乳头瘤病毒,宫颈癌前病变,宫颈癌	保妇康栓治疗高危型HPV感染的临床研究进展保妇康栓,高危型HPV感染,研究进展
微波阿司匹林	微波技术应用于阿司匹林的药物合成微波技术,阿司匹林,应用,药物合成	微波法合成阿司匹林微波辐射,阿司匹林,催化,有机合成
室性期前收缩 中医	益气泻肺利水方治疗慢性心力衰竭合并室性期前收缩的临床观察益气泻肺利水方,慢性心力衰竭,室性期前收缩,阳虚水泛证	复律养心汤联合心律平治疗儿童频发室性期前收缩热邪扰心证的疗效观察儿童频发室早,热邪扰心证,复律养心汤,室性期前收缩,中医药治疗,心律平
作者:周寰	高校图书馆学科服务个性化需求定制创新模式服务策略研究高校图书馆,个性化需求,学科服务,创新模式	研究特高压输电线路施工技术高压供电,输电线路,施工
优化运行	计及多能需求的综合能源服务商优化运行策略研究分布式发电,多能需求,综合能源服务商,优化运行	给水管网水泵的优化运行给水管网,水泵,优化运行,遗传模拟退火算法
儿童炎症性肠病(IBD)机制	肠内营养对儿童炎症性肠病作用机制研究进展炎症性肠病,肠内营养,儿童,机制	炎症性肠病的常见心理问题及诊治进展炎症性肠病,心理问题,脑-肠轴,双向影响,心理评估,心理治疗
功率前馈控制	基于自抗扰和负载功率前馈的高速磁悬浮系统PWM整流器控制策略高速磁悬浮列车,PWM,整流器,换步,负载功率前馈,自抗扰控制	功率前馈的准Z源光伏并网逆变器Quasi-PR控制光伏并网,准Z源逆变器,功率前馈,准比例谐振,直通分段空间矢量脉宽调制
医学伦理评价	医师人格特征对伦理困境下医疗决策的影响研究人格特征,伦理困境,医疗决策	3D打印模型辅助与骨科机器人在脊柱畸形矫形过程中的精准置钉脊柱畸形;骨科机器人;3D打印技术;置钉准确率
题名:加缪鼠疫	加缪《鼠疫》中的悲剧意识悲剧意识,<鼠疫>,加缪	"加缪的""反抗""与升华 ——从《局外人》到《鼠疫》加缪,反抗,升华,《局外人》,《鼠疫》"
交通事故	道路交通事故的成因分析及预防研究道路交通事故,事故成因,预防措施	论无人驾驶汽车交通肇事的刑法规制无人驾驶汽车,人工智能,交通肇事,犯罪主体,刑事责任
员工培训	如何提高基层员工培训质量基层;企业员工;培训质量	组织职业生涯管理与工作卷入关系的研究组织职业生涯管理,工作卷入
(作者:Jie Zhang) 关键词:ga2o3	β-Ga2O3:Dy3+ 纳米棒束的制备和光致发光性质水热法,纳米棒束,镝离子,β-Ga2O3,稀土	"β-Ga2O3:Dy3+ 纳米棒束的制备和光致发光性质水热法,纳米棒束,镝离子,β-Ga2O3,稀土
"
胃食管反流病与肠道菌群	胃食管反流病与肠道菌群关系研究进展关键词GERD,肠道菌群,综述,胃肠道疾病	胃食管反流病与消化道微生态关系的研究进展胃食管反流病,食管微生态,肠道微生态,相关性,精神心理
特应性皮炎中医	中西医结合治疗特应性皮炎的Meta分析特应性皮炎,中西医结合,随机对照试验,Meta分析	特应性皮炎的中医辨证与治疗特应性皮炎,中医辨证,治疗
楼宇党建	"社区楼宇党建工作:探索·问题·对策楚雄市,社区党建,楼宇党建,""两新""组织,""网格化""管理"	新时代上海市如何创新升级楼宇党建新机制新时代,楼宇党建,企业管理,基层党建
新农保 缴费	金融知识与新农保参与行为金融知识,金融教育,新农保参与,普惠金融	农民分化与新型农村社会养老保险制度减贫作用评价——基于5省10县1253个样本的实证分析新农保,农民分化,精准扶贫,制度评价
食管癌术后管道固定	食管癌术后胃管及十二指肠营养管不同固定方法效果比较食管癌术后,胃管十二指肠营养管,固定	食管、贲门癌术后胃管、十二指肠营养管脱落原因分析及护理食管癌,胃管,十二指肠营养管,脱落,护理
作者:顾晓冬	胃癌微创手术的现状与展望胃肿瘤,腹腔镜外科手术,综述文献	化学合成siRNA阻断小鼠骨髓源性不成熟树突状细胞GAPDH基因的表达siRNA,树突状细胞,GAPDH,RNA干扰
细节护理在终末期肾病血液透析患者护理中的应用效果观察	终末期糖尿病肾病血液透析在细节管理护理中的应用疗效分析终末期糖尿病肾病血液透析,细节管理护理,应用疗效	细节护理在终末期糖尿病肾病血液透析护理中的应用细节护理,终末期糖尿病肾病,血液透析,护理效果
发热性非溶血性输血反应	发热性非溶血性输血反应的危险因素分析与预防控制发热性非溶血性输血反应,危险因素,预防	输注白细胞滤过的血小板预防发热性非溶血性输血反应的Meta分析白细胞滤过,血小板输注,发热性非溶血性输血反应,随机对照试验,Meta-分析
题名: 小儿推拿  meta分析	针灸推拿联合功能性训练治疗小儿脑瘫运动障碍的Meta分析小儿脑瘫;针灸推拿;运动障碍;Meta分析	推拿治疗小儿便秘临床疗效的Meta分析推拿,小儿便秘,小儿推拿,便秘,Meta分析
基于分子动力学的沥青	基于分子动力学两集料间沥青的拉伸黏附机理沥青-集料界面;拉伸作用;黏附机理;内聚力模型;分子动力学模拟	"基于自由体积理论的沥青分子模型黏度预测分子动力学,沥青,动态黏度,自由体积,径向分布函数
"
克罗恩病活动指数(CDAI)	不同炎症指标对克罗恩病临床应用价值比较克罗恩病;C反应蛋白;血清淀粉蛋白A;降钙素原	双能量CT对肠系膜脂肪在克罗恩病活动性评估的价值研究Crohn病,肠系膜,脂肪组织,吸收测定法,光子,体层摄影术,X线计算机
((流感) 关键词:疫苗 ) 关键词:通用	多价流感疫苗及通用型流感疫苗的研究进展多价流感疫苗;通用流感疫苗;血凝素	"基于流感病毒血凝素的通用疫苗研究进展甲型流感病毒;血凝素;通用疫苗
"
计算机辅助导航系统	计算机辅助导航系统引导下的椎弓根螺钉置入术计算机辅助导航系统,椎弓根螺钉	计算机辅助导航系统在骨科手术中的临床应用计算机辅助手术,导航系统,骨外科学
生活性服务业	老年人的社会支持系统与需求满足社会支持,老年人,需求,社会服务	“云消费”时代提升生活性服务业品质的思路云消费,生活性服务业,云服务
虚开发票	虚开增值税专用发票犯罪案件的侦查虚开增值税专用发票犯罪,侦查,犯罪嫌疑人	论虚开增值税专用发票案件的协查虚开增值税专用发票,协查,侦查
地缘政治风险	国际地缘政治风险对中国投资者信心的影响国际地缘政治风险;投资者信心;宏观经济波动	冷战后美国延伸威慑战略模式探析——基于地缘政治的视角延伸威慑,危机稳定性,军事同盟
星载激光雷达	星载大气探测激光雷达技术与应用激光雷达,大气探测,星载	采用半解析蒙特卡洛技术模拟星载海洋激光雷达回波信号的软件半解析蒙特卡洛模型;星载海洋激光雷达;激光雷达回波信号
循环经济 快递包装	循环经济下高校快递包装绿色回收研究校园快递,包装回收,循环经济,可持续发展	循环经济视角下快递包装回收法律问题探讨循环经济,快递包装,法律问题
营养  切口	封闭式负压引流技术联合造口袋在腹部切口感染病人中的应用封闭式负压引流,回肠造口,腹部切口感染	腹腔镜技术用于治疗泌尿系统肿瘤的临床分析腹腔镜技术,泌尿系肿瘤,住院时间,治疗效果
城市生活垃圾分选	浅述智能化技术在城市生活垃圾收运处置过程中的应用智能分选技术;近红外;激光;X射线;识别技术;金属感应;垃圾处理	沈阳市垃圾场陈腐垃圾理化性质研究城市存量垃圾,筛分,分选,理化性质
绿茶发展	青岛市红绿茶加工现状及高质量发展对策红绿茶加工;现状;高质量发展;对策	"""一带一路""背景下陕西茶叶跨境电商发展路径研究一带一路,茶叶,跨境电商,发展路径"
重载压力机	高速重载压力机传动系统参数设计高速,压力机,传动系统,参数设计	"永磁同步电机重载驱动的曲柄伺服压力机动力系统参数曲柄压力机,动力系统,永磁同步电机,电容组,解析表达式,伺服压力机
"
循证设计	基于循证设计的科技服务业行业分类——以西安市为例循证设计,政策设计,科技服务,行业分类	基于循证设计的康复环境景观设计要素康复环境,循证设计,景观要素,医疗环境
