从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
浅析用电信息采集在抄核收方面的应用及效果	浅析用电信息采集在抄核收方面的应用及效果用电信息采集,抄核方法,应用分析,电力系统
条件随机场特征选择	基于条件随机场的藏文人名识别技术研究藏文人名,条件随机场(CRF),特征选择
调在农灌负荷电压质量监视中的应用	调控一体化模式下AVC系统在农灌负荷电压质量监视中的应用自动电压控制(AVC)系统,运行参数,调压策略,电压合格率
超声波电源匹配网络和频率跟踪系统的研究	超声波电源匹配网络和频率跟踪系统的研究换能器,相位捕捉,谐振
TiO2纳米磁性材料的制备及其吸附和光催化性能研究	TiO2纳米磁性材料的制备及其吸附和光催化性能研究
初三化学复习课中“问题链”教学的实践探索	初三化学复习课中\问题链\教学的实践探索\问题链\教学,初三化学,复习课
真空冷冻干燥对柠檬挥发性风味化合物保留的影响	真空冷冻干燥对柠檬挥发性风味化合物保留的影响真空,冷冻,干燥,柠檬,挥发性风味化合物,一体化冻干,保留
企业职业危害因素	关于化工企业职业病危害因素的研究化工企业,职业病,危害因素
药品销售系统实现	药品销售管理系统的设计与实现药品销售,管理系统,设计与实现
无线鼠标技术综述	蓝牙鼠标的特点及系统组成蓝牙鼠标,无线技术,系统方案
疫情网络舆论思想政治教育	重大疫情下加强高校网络舆论引导对策研究疫情防控,高校,大学生,舆论引导
(心血管 OR ASCVD OR CVD) AND (一级预防 OR 生活方式）	青岛市围绝经期女性铁路工人的心血管疾病危险因素及生活方式干预研究围绝经期,铁路工人,心血管疾病,危险因素,生活方式干预
儿童玩具市场存在的问题及建议	我国现代儿童玩具设计中存在的问题与对策玩具,设计,功能
在泡沫铜上电沉积合金	铜系纳米阵列催化剂的结构调控及其在水合肼燃料电池中的应用纳米阵列催化剂;铜系材料;水合肼燃料电池;电催化活性
Possible ways to improve public bus transportation in Itaperuna,	Possible ways to improve public bus transportation in Itaperuna, Rio de Janeiro, Brazilpublic transportation,,itaperuna's bus company,,quality of service,,passenger opinion,,service cost,,time schedule,,efficiency
古诗词中的物理学	古诗词中的物理知识寒山,平面镜成像,直线传播,古诗词,物理学,物理知识,雨滴,飞尘
中药小分子 抗肿瘤	基于TCMSP抗肿瘤中药小分子EGFR-TKI的研究中药小分子,肿瘤,表皮生长因子受体,反向分子对接,靶点
甲醇精馏工艺设计	甲醇三塔精馏工艺设计甲醇,三塔精馏,常压塔
中美贸易战对中美汇率的影响	浅谈中美贸易战对人民币汇率的影响中美贸易战,人民币汇率,金融市场
基于层次分析法的SWOT方法改进与实例分析	基于层次分析法的SWOT方法改进与实例分析层次分析法,数学模型,信息分析
基于一带一路导向的国际贸易走向分析	基于一带一路导向的国际贸易走向分析一带一路,国际贸易,走向分析
腹腔镜手术对比开腹手术在结直肠癌根治术中的安全性及远期疗效评估	腹腔镜手术对比开腹手术在结直肠癌根治术中的安全性及远期疗效评估开腹手术,腹腔镜,结直肠癌根治术,安全性,远期疗效
黄淮海农作区玉米需水量时空变化特征比较研究	黄淮海农作区玉米需水量时空变化特征比较研究玉米,需水量,气候变化,黄淮海农作区
轻质材料和结构在机床上的应用	轻质材料和结构在机床上的应用超高精密机床,超轻多孔材料,多功能一体化,轻量化,智能化
低渗透油藏CO2混相驱提高采 收率试验	低渗透油藏CO2混相驱提高采收率试验低渗透油藏,CO2,混相驱,提高采收率
热应激对种公犬精液品质的影响	热应激对种公犬精液品质的影响
污水处理工艺设计	农村生活污水处理工艺设计人工湿地,污水处理,工程设计
复方倍他米松神经性皮炎	局部注射复方倍他米松治疗神经性皮炎的临床疗效分析神经性皮炎,复方倍他米松,局部注射
间歇缩聚 温度控制	间歇缩聚真空系统带料的探讨聚酯,间歇缩聚,真空系统
新民主主义革命历史意义	论五四精神的历史意义和时代价值“五四”精神,历史意义,时代价值,民族伟大复兴
心脏术后中性粒细胞明胶酶相关脂质运载蛋白和白细胞介素18与急性肾损伤的关系	心脏术后尿中性粒细胞明胶酶相关脂质运载蛋白和白细胞介素18与急性肾损伤的关系急性肾损伤,白细胞介素18,粒细胞明胶酶相关脂质运载蛋白,心脏手术
心理健康情绪管理	情绪管理在维护大学生心理健康中的应用策略探究情绪管理,大学生,心理健康,应用策略
舰载机作战效能评估技术	舰载机作战效能评估技术研究舰载机;作战效能;效能评估
创伤后早期心理干预	早期心理干预对急诊交通事故创伤患者的护理效果研究急诊,交通事故,创伤,早期心理干预
自然语言处理 试题	高考语文阅读理解试题管理系统设计与实现高考语文阅读理解试题管理系统;自然语言处理;阅读理解篇章;软件设计
改良经皮介入取异物术在中心静脉导管断裂中的应用	改良经皮介入取异物术在中心静脉导管断裂中的应用外周导入中心静脉置管,断裂,经皮介入取异物术,猪尾巴导管
人工智能在药学的应用	人工智能技术在药学领域的应用——基于Web of Science的文献可视化分析人工智能,药学,知识图谱,可视化,文献计量分析,研究热点,研究前沿
我国医养结合政策发展	我国医养结合政策变迁与发展思考医养结合,政策变迁,养老服务,发展对策
吡非尼酮 放射性肺损伤	吡非尼酮防治放射性肺纤维化的实验研究
国外装修质量研究	商品住宅精装修问题的研究商品住宅;精装修;结构破坏;质量验收;人性化设计
智能化辅助决策系统在儿科急诊五级分诊中的应用	智能化辅助决策在儿科急诊五级分诊中的应用研究儿科急诊,预检分诊,辅助决策
大学生学习动机、学习自我效能感与学习倦怠的关系研究	大学生学习动机、学习自我效能感与学习倦怠的关系研究大学生;学习倦怠;学习动机;学习自我效能感
Li 固体推进剂	固体推进剂用纳米燃烧催化剂的研究进展固体推进剂,纳米,燃烧催化剂,热分解
探析新形势下森林保护存在的问题与解决对策	探析新形势下森林保护存在的问题与解决对策森林保护,森林保护中存在的问题,问题与对策
三维超声心动图诊断冠心病	全容积三维超声心动图诊断冠心病患者心脏局部容积和心脏功能的应用效果冠心病,超声心动图,全容积,心脏局部容积,心脏功能
股票日线数据网上分布式抓取的设计与实现	股票日线数据网上分布式抓取的设计与实现网页抓取,分布式设计,网页数据,string,分析技术,技术使用,split,return,时间效率,策略模型
电脉冲除冰(EIDI)技术研究	电脉冲除冰（EIDI）技术研究电脉冲除冰(EIDI),电动力学,计算模型,结构动力学,除冰预测
曹禺原野的艺术特色	曹禺剧作艺术探索《王昭君》,戏剧作品,《雷雨》,结构艺术,语言特色,形象塑造,《原野》,文艺出版社,忱之,艺术探索
外语内涵发展的路径研究	商务外语的学科内涵与发展路径分析商务外语,学科内涵,发展路径
镁铝水滑石性能研究	镁铝铜水滑石的合成、表征及性能研究镁铝铜水滑石,表征,吸附
大肠癌hTERT、SYK分子边界的临床研究	大肠癌hTERT、SYK分子边界的临床研究肠肿瘤,端粒,末端转移酶,蛋白酪氨酸激酶类,分子边界
短节段经皮微创与传统椎弓根螺钉内固定治疗伴后方韧带复合体损伤的胸腰椎骨折的比较	短节段经皮微创与传统椎弓根螺钉内固定治疗伴后方韧带复合体损伤的胸腰椎骨折的比较短节段经皮微创,传统椎弓根螺钉内固定,后方韧带复合体损伤,胸腰椎骨折,疗效,固定方式
林火预警技术发展与 趋势	我国森林火灾预警监测技术体系发展思考林火预警,林火监测,森林防火
深度解读《网络信息内容生态治理规定》	深度解读《网络信息内容生态治理规定》
中西方语言与文化的差异	试论中西方语言文化教育的差异比较与融合中西方,语言文化教育,差异
不良妊娠与TORCH感染的关系	TORCH感染与不良妊娠及胎儿畸形关系的分析TORCH感染,不良妊娠,先天畸形,关系
IIR去噪滤波器的设计	关于IIR数字滤波器的设计数字滤波器,IIR,脉冲响应不变法,双线性变换法
孟菲斯风格于当下	孟菲斯派风格于当下视觉传达设计中的应用视觉传达设计;孟菲斯派风格;几何图形;艺术风格;情感表达
血浆置换对重症肝病患者血浆VWF水平的影响	血浆置换对重症肝病患者血浆vWF水平的影响血浆置换,重症肝病,vWF
UPS 不间断电源   温度监测	全数字化不间断电源的研究全数字化不间断电源;智能功率模块;空间矢量脉宽调制
浅谈在小学语文教学中小学生创新思维能力的培养	浅谈在小学语文教学中小学生创新思维能力的培养小学语文,创新思维能力,培养方法,现状
教育部关于加强和改进新时代基础教育教研工作的意见	教育部关于加强和改进新时代基础教育教研工作的意见
作者单位：场坝小学	关于如何提高小学数学课题教学效率的措施研究小学数学,课题教学,效率,方法研究
肠 淋巴瘤  淋巴增生	胃肠道惰性T细胞淋巴组织增生性疾病临床病理特征胃肠道惰性T细胞淋巴组织增生性疾病,免疫组化,基因重排,原位杂交,外周T细胞淋巴瘤
工作倦怠的理论研究及其进展	工作倦怠的理论研究及其进展
肛瘘的非手术疗法	肛瘘切开术与切除术在治疗低位单纯性肛瘘中的应用价值低位单纯性肛瘘,肛瘘切开术,肛瘘切除术,临床疗效
新冠肺炎 诊断方法研究	新型冠状病毒肺炎诊断研究进展诊断,新型冠状病毒,新型冠状病毒肺炎
供应链网络协同研究综述	电子化供应链协同商务研究综述电子化供应链,协同商务,整合,协同物流,移动商务
丙烯酸酯类和甲基丙烯酸酯类	甲基丙烯酸酯类的合成和应用甲基丙烯酸酯,合成,应用
文化创意视角下常州市乡村旅游产品的创新开发研究	文化创意视角下常州市乡村旅游产品的创新开发研究乡村旅游产品,常州,创新开发,开发研究,体验经济,乡村旅游产业,创意,深层次开发,乱针绣,留青竹刻
范欣荣, 李汉忠, 纪志刚。 保留器官的综合治疗-膀胱癌治疗的新模式（附107例报告）. 中华泌尿外科杂志	保留器官的综合治疗-膀胱癌治疗的新模式（附107例报告）肌层浸润性膀胱癌,保留膀胱,膀胱癌根治术,化学治疗
资产结构与股票收益率	新三板挂牌公司资本结构与股票流动性关系研究新三板市场;上市公司;股票流动性;资本结构
现代绿色物流管理及其优化途径	现代绿色物流管理及其优化途径绿色物流管理,途径
光栅纹影偏折法测量二维层化流体密度梯度	光栅纹影偏折法测量二维层化流体密度梯度Ronchi光栅,纹影法,小波分析,相位解调,流体密度梯度
发光细菌及其在农业水质监测中的应用研究综述	发光细菌及其在农业水质监测中的应用研究综述发光细菌,生理特性,发光机理,农业用水,应用
汽车市场  案例分析	中国汽车市场预测及细分领域市场案例分析组合预测模型,汽车保有量,市场销量,预测
败血症 专家共识	新生儿败血症诊断及治疗专家共识(2019版)解读败血症,婴儿，新生,共识
北京协和医院管理信息系统的设计与实现[	北京协和医院管理信息系统的设计与实现医院管理,信息,计算机
连续性血液净化对凝血	连续性血液净化对多器官功能障碍综合征患者凝血及免疫功能的影响连续性血液净化,多器官功能障碍综合征,凝血功能,免疫功能
研究岩石力学室内试验技术的若干进展	研究岩石力学室内试验技术的若干进展岩石力学,室内试验,技术分析
严寒地区建筑外窗传热特性实验研究	含石蜡多层玻璃窗传热性能实验研究多层玻璃窗,传热特性,石蜡熔点,石蜡厚度
食品 生产端 风险	以生产企业为核心的食品供应链风险评价研究食品生产企业,供应链风险评价,数据包络分析法,模糊综合评价法
多自由度机械振动系统	基于 MATLAB 多自由度单向串联振动系统的计算分析MATLAB,多自由度,振动系统,矩阵迭代法,固有特性
不同季节就诊的寻常性银屑病患者病情严重程度及危险因素分析 夏秀娟	不同季节就诊的寻常性银屑病患者病情严重程度及危险因素分析银屑病,季节,环境,危险因素,问卷调查
新冠 温州医科大学附属第一医院	温州地区新型冠状病毒肺炎中医分期分型诊治与实践新型冠状病毒肺炎,新型冠状病毒,疫病,中医,分期分型,辨证论治,温州
临床微生物标本规范采集和送检在临床中的重要作用	临床微生物标本规范采集和送检在临床中的重要作用微生物检验标本,质量,监测,感染性疾病,病原学诊断
糖尿病足患者下肢动脉病变和伤口细菌学分析	糖尿病足患者下肢动脉病变和伤口细菌学分析糖尿病足,细菌,感染,血管造影术,Wagner分级,下肢动脉病变
侧流磷回收强化生物除磷	侧流磷回收与磷去除工艺中的微生物学研究进展侧流,磷去除,磷回收,微生物,聚磷菌
过二硫酸铵反应机理	四正丁基过硫酸铵氧化裂解2,4-二硝基苯腙衍生物的反应研究四正丁基过硫酸铵,2,4-二硝基苯腙衍生物,氧化,裂解
静态GPS测量及数据处理研究	静态GPS测量及数据处理研究静态GPS,测量,数据处理,研究
热老化对阻燃PVC电缆燃烧性能的影响	热老化对阻燃PVC电缆燃烧性能的影响阻燃PVC电缆,热老化,引燃时间,热释放速率
英语专业跨境电商	英语专业跨境电商人才的培养研究关键词英语专业,跨境电商,课程设置,实训技能
我国煤矿巷道围岩控制技术发展70年及展望	我国煤矿巷道围岩控制技术发展70年及展望采矿工程,煤矿巷道,围岩控制,采动,支护,改性,卸压
恶性纤维组织细胞瘤影像	软组织恶性纤维组织细胞瘤的临床病理与影像学特征分析软组织,恶性纤维组织细胞瘤,临床病理,影像分析
地质矿产勘查工作手段及方法研究	地质矿产勘查工作手段及方法研究地质矿产,勘查工作手段,方法研究
苏醒延迟  肿瘤  癌	肿瘤患者全身麻醉苏醒延迟的临床分析及处理肿瘤患者,全身麻醉,苏醒延迟,分析
现代教育管理研究的不足	人文关怀视域下的现代高校教育管理研究人文关怀,高校,教育管理
小麦硝酸盐吸收同化与氯酸盐的耐性	小麦硝酸盐吸收同化与氯酸盐的耐性小麦,硝酸盐,氯酸盐,同化,耐性
成年调节性内斜视	屈光性调节性内斜视远期疗效分析内斜视,远视,双眼单视
项目式教学高中信息技术	高中信息技术项目式学习教学模式研究高中信息技术,项目式学习,教学模式
数字经济服务贸易	疫情后关于我国服务贸易数字化的思考疫情后,服务贸易,数字化,思考
疫情后居民戴口罩	新型冠状病毒肺炎疫情期间居民使用口罩和消毒产品的影响因素新型冠状病毒肺炎,口罩,消毒产品,影响因素
电化学噪声和电化学阻抗 谱监测1Cr18Ni9Ti不锈钢的初期点蚀行为	电化学噪声和电化学阻抗谱监测1Cr18Ni9Ti不锈钢的初期点蚀行为1Cr18M9Ti不锈钢,点蚀,电化学噪声,电化学阻抗谱,扫描电镜
氮化碳制备及降解有机污染的应用	基于氮化碳光催化材料的设计及其可见光降解环境有机污染物的研究石墨相氮化碳;光催化剂;复合纳米材料;有机污染物;降解性能
基于微小系统分析框架的广西家庭医生签约服务制度发展策略研究	基于微小系统分析框架的广西家庭医生签约服务制度发展策略研究
快递企业上市方式比较	快递企业上市方式比较研究——以圆通A股借壳与中通海外IPO为例快递企业;借壳上市;海外上市;价值评估;经营绩效
玻璃瓶模具CAD系统的研究	玻璃瓶模具CAD系统的研究计算机辅助设计;CAD系统;玻璃瓶模具
聚集诱导发光超分子聚合物的光物理性能研究	聚集诱导发光超分子聚合物的光物理性能研究聚集诱导发光,超分子聚合物,能量传递,纳米球
基于深度学习的小样本红外图像目标检测与识别研究	基于深度学习的小样本红外图像目标检测与识别研究
新形势下社区法律、法规意识养成	新形势下社区法律、法规意识养成新形势,社区,法律,法规,意识养成
中国法制发展模式	论中国法制现代化的发展模式法制现代化,内发型法制现代化发展模式,外发型法制现代化发展模式,混合式法制现代化发展模式
纳米压印的发展与现状	纳米压印光刻技术的研究与发展纳米压印,工艺过程,图形质量,关键问题
公安机关机构设置	试论基层公安机关的概念、主体及机构设置基层公安机关,机构改革,主体,派出所,警署,社区警察
飞行员疲劳风险管理	国内外飞行员疲劳风险管理规章对比研究飞行员疲劳,疲劳风险管理,规章,航空安全
TiO2XRD图谱	窄带半导体敏化TiO2光催化材料的制备及性能研究TiO2,水热法,光催化,Cu-掺杂
贫血不良妊娠结局	孕期贫血与不良妊娠结局孕期贫血,不良妊娠结局,预防,治疗
延续性护理  肩袖修补	延续性护理对于肩关节镜治疗肩袖损伤患者远期疗效观察延续性护理,肩关节镜,肩袖损伤
超分辨光学微纳显微成像技术	亚百纳米超分辨光学显微成像新方法与技术的研究光学超分辨显微成像;差分显微术;连续光波;受激辐射损耗
大蒜中有机硫化合物及其分析方法	大蒜中有机硫化合物及其分析方法大蒜,有机硫化合物,分析方法,特征性营养成分
基层政府优化小微企业营商环境	基层政府优化小微企业营商环境中的问题与对策研究--以呼和浩特市新城区为例
劳务关系与劳动关系的区别研究	浅析劳动关系与劳务关系、劳资关系的联系与区别和谐劳动关系,构建社会主义和谐社会,劳务关系,劳资关系,六届六中全会,社会和谐,关系和谐,中共中央
information security  Digital signature technology	A Study on Application of Digital Signature Technology in E-commerce Security
我国碳交易试点的成效分析与政策建议	我国碳交易试点的成效分析与政策建议碳交易试点,碳配额,碳市场
火力发电厂变压器微机保护	发电机变压器组微机型差动保护的现场检验分析
基于witness的配送中心	基于Witness的配送中心系统仿真设计配送中心,计算机仿真,优化
小学生英语自主学习能力的调查报告	小学生自主学习能力培养策略的研究——以五年级英语为例小学英语;自主学习;能力培养;教学策略
氧氟沙星   头孢曲松钠   阑尾炎	腹腔镜阑尾切除术联合左氧氟沙星、头孢曲松钠治疗急性阑尾炎的临床效果腹腔镜阑尾切除手术,左氧氟沙星,头孢曲松钠,急性阑尾炎,临床疗效
测定栀制人参中人参皂苷	HPLC法测定栀制人参中人参皂苷Rg1、Re、Rb1和栀子苷的含量栀制人参,人参皂苷,栀子苷,含量,高效液相色谱法
小学低段科学  思维导图	初探思维导图在小学低年段语文教学中的应用初探,思维导图,低年段语文教学,应用
全国文明城市全国文明校园	习近平会见全国精神文明建设表彰大会代表王沪宁参加会见并在表彰大会上讲话社会主义精神文明建设,习近平,表彰,王沪宁,思想道德建设工作,中共中央总书记,全国文明城市,人民大会堂
中锰钢热处理工艺研究	不同热处理工艺对Nb-Mo中锰钢组织和力学性能的影响IA&QP,ART,中锰钢,力学性能,奥氏体稳定性
细菌性角膜炎的病原学分析及预防对策	细菌性角膜炎的病原学分析及预防对策细菌性角膜炎,病原菌分布,耐药性,预防对策
城市给排水管网问题及优化设计研究	城市给排水管网问题及优化设计研究城市给排水,管网问题,优化设计
老年人静脉留置针固定	老年人外周静脉留置针固定方法改进对留置时间的影响老年人,外周静脉留置针,固定方法,留置时间
早期食管癌的ESD治疗	内镜下ESD治疗早期食管癌的有效性、安全性食管癌,内镜,黏膜剥离术,生存周期
一种新型海洋温差能海水淡化装置设想	一种新型海洋温差能海水淡化装置设想
湖南两所本科院校医学生共情能力的现状调查	湖南两所本科院校医学生共情能力的现状调查学生,医科/心理学,移情(心理学),教育,医学,本科,数据收集,共情能力
.感染相关生物标志物临床意义解读专家共识	感染相关生物标志物临床意义解读专家共识
（附着升降脚手架 or 爬架 or 升降平台） and 葫芦 and  (正挂 or 低速环链 or 自循环)	双钩单链低速环链电动葫芦在附着式升降脚手架上的应用双钩,单链、低速环链电动葫芦,电动提升机,附着式升降脚手架
中国明清时期疫病时空分布规律的定量研究	中国明清时期疫病时空分布规律的定量研究疫病,中国,明清时期,时空分布规律
一种纯天然无添加且具抑菌能力 的乳膏型基质的制备	一种纯天然无添加且具抑菌能力的乳膏型基质的制备乳膏,纯天然,壳寡糖,抑菌
生产线平衡优化与改善	基于IE的汽车混流生产线平衡与精益管理改善研究生产平衡,精益管理,改善优化,Flexsim仿真
小学英语词汇学习策略分类	小学五年级英语词汇学习策略的调查研究小学生;英语词汇;学习策略
区域水利-社会经济协调度评价与综合水平空间差异分析	区域水利—社会经济协调度评价与综合水平空间差异分析洛伦茨曲线,基尼系数,协调度,空间自相关,空间差异
生物技术在食品开发的应用	现代生物技术在食品开发中的应用现代生物技术,食品开发,应用
下腔静脉肉瘤护理	1例巨大原发性下腔静脉平滑肌肉瘤切除术的手术配合
血浆外泌体 巨噬细胞	血浆外泌体样小体对巨噬细胞Wnt5A-Ca2+通路影响的初步研究血浆外泌体样小体,巨噬细胞,Wnt5A-Ca2+信号通路
国际抗癌联盟和日本胃癌协会胃癌淋巴结分期法与国人胃癌患者预后相关性的比较	国际抗癌联盟和日本胃癌协会胃癌淋巴结分期法与国人胃癌患者预后相关性的比较胃肿瘤,肿瘤分期,国际抗癌联盟,日本胃癌协会,预后
2015脑性瘫痪	中国脑性瘫痪康复指南（2015）脑性瘫痪,康复,指南
公司经营分析预测	公司经营业绩、盈余管理与分析师盈余预测误差上市公司;经营业绩;盈余管理;分析师;盈余预测
金融科技的机遇与挑战	金融科技创新的机遇与挑战金融,科技创新,机遇,挑战
发电厂对环境的影响	生活垃圾焚烧发电厂烟尘中重金属沉降对土壤环境的影响研究生活垃圾焚烧,发电厂,重金属沉降,土壤环境,影响
路面平整度 检测	平整度试验检测技术在路基路面中的应用分析平整度试验检测技术,路基路面,应用
面向对象方法介绍	浅谈面向对象的软件开发方法面向对象,开发方法,OMT,UML
杂交水稻对人类的贡献	中国杂交水稻技术思想的传播与交流
浅析小学体育教学中提升学生学习兴趣的教学方法	浅析小学体育教学中提升学生学习兴趣的教学方法小学体育,课堂教学,学习兴趣,多媒体,教学方法
5G无线通信技术应用探讨陈方明	5G无线通信技术应用探讨5G,无线通信技术,应用
梁毅 上海交通大学	长方体定容燃烧弹中爆震燃烧过程研究爆震燃烧;定容燃烧弹;汽油/空气混合气;自燃模式;内燃机
医学影像 误诊率	影像学联合多项肿瘤标志物对肺癌误诊率的影响肺癌,影像学,早期诊断,肿瘤标志物,误诊率
疫情 基层治理 合法性	重大疫情下的农村封闭式治理:情境、过程与结果——基于桂中H村的调研分析新冠肺炎疫情,封闭式治理,感染风险,情境-过程-结果,乡村治理
肺癌和肺非霍奇金淋巴瘤	11例原发性肺非霍奇金淋巴瘤患者临床及影像学特点分析
eBay支付模式	eBay的盈利模式研究电子商务;盈利模式;网络购物;信用评价体系;用户体验
甲基化特异性PCR检测FMR1和XIST基因甲基化实验方法的建立	甲基化特异性PCR检测FMR1和XIST基因甲基化实验方法的建立脆性X智障基因,X染色体失活基因,甲基化特异性PCR,甲基化检测
基于新型数据手套手语识别的研究	基于新型数据手套手语识别的研究与应用手语,数据手套,手势识别
病毒性肝炎的治疗	甘草酸二铵与异甘草酸镁治疗病毒性肝炎患者的临床疗效病毒性肝炎,甘草酸二铵,异甘草酸镁,治疗结果
不同波纹梁结构吸能特性仿真分析	不同波纹梁结构吸能特性仿真分析飞机,波纹梁,有限元法,吸能特性
澳大利亚JBI横断面	JBI循证卫生保健中心对关于不同类型研究的质量评价工具——患病率及分析性横断面研究的质量评价JBI循证卫生保健中心,文献质量评价,描述性研究,患病率研究,分析性横断面研究
高质量植物基因组 DNA 的提取	高质量植物基因组DNA的提取植物基因组DNA提取,细胞裂解,蛋白质去除,次生物质去除,RNA去除
激光熔注中增强相颗粒对晶粒生长影响的CA模拟	激光熔注中增强相颗粒对晶粒生长影响的CA模拟?激光熔注,晶粒生长,元胞自动机,镁合金
流感样 老年 成本	潍坊市老年人流感疫苗免费接种效果及成本效益分析免费流感疫苗接种,老年人,预防效果,成本效益分析
基于数字技术的建筑方案设计研究	建筑方案设计基于数字技术的研究数字技术,建筑方案设计,优势
六阶非线性系统解耦	基于逆系统与内模控制理论的六自由度机械臂解耦控制
课堂环境下二语词汇能力发展的认知心理模式	课堂环境下二语词汇能力发展的认知心理模式词汇能力发展,认知心理模式,课堂环境,二语习得
变频器 modbus 电磁干扰	基于总线控制的电潜泵地面控制系统网络改进研究Profibus,Modbus,变频器,PLC
中国哲学走向世界	——以20世纪以来中国哲学之东学西渐为启示中国哲学,走向世界,东学西渐
基于学生解题分析的认知诊断研究	基于学生解题分析的认知诊断研究教育大数据,认知诊断,个性化学习,DINA模型
2020 全球癌症报告	《2020全球癌症报告》要点解读癌症,发病,死亡,危险因素,预防
职业能力培养视角下酒店管理专业理论课程教学改革探析	职业能力培养视角下酒店管理专业理论课程教学改革探析职业能力,酒店管理专业,理论课程,教学改革
硫化铜铅矿 优先浮选	硫化铜、铅矿物浮选分离研究现状及发展趋势黄铜矿,方铅矿,浮选分离,浮选电化学,抑制剂,重铬酸盐,亚硫酸
船舶脱硫塔发展现状	海上平台烟气海水脱硫技术应用研究与进展大气污染防治工程,海上平台,海水脱硫,硫氧化物
支气管哮喘病理机制研究及中西医临床治疗进展	支气管哮喘病理机制研究及中西医临床治疗进展支气管哮喘,病理机制,中西医结合,临床治疗
视神经损伤动物模型	视神经损伤后再生的动物模型建立损伤,视神经,再生,模型,动物
